#Daten der Analyse des 3D Raumes mit nur ein paar wenigen Testverschiebungen.
#Dieses sind Daten vor dem Parallelisieren.
#xgröße des Raumes^3 ySpeicherbedarf in GB

100 0
150 0
200 1.34
250 2.58
300 4.49
350 7.16
400 10.58
450 15.13
