#Daten der Analyse des 3D Raumes mit nur ein paar wenigen Testverschiebungen.
#Dieses sind Daten vor dem Parallelisieren.
#xgröße des Raumes^3 yZeiteinheiten in Sekunden zSpeicherbedarf in GB

100 0.72 0
150 2.39 0
200 5.96 1.34
250 11.27 2.58
300 21.51 4.49
350 34.34 7.16
400 62.75 10.58
450 161.84 15.13
